# HOUSING
# /house
House.DBHousePermissions.AccessLevel:			Access level {0}
Commands.Players.Housing.InteriorBannersRemoved:		Your interior guild banners have been removed.	
Commands.Players.Housing.InteriorShieldsAdded:		Your interior guild shields have been changed.	
Commands.Players.Housing.InteriorShieldsRemoved:		Your interior guild shields have been removed.	
Commands.Players.Housing.LeftHouse:			You have exited house number {0}.
Commands.Players.Housing.LotAlready:			You already own another lot or house (Number {0})
Commands.Players.Housing.LotBought:			You just bought this lot for {0}!
Commands.Players.Housing.LotCost:			
Commands.Players.Housing.LotNotItem:			That is not a valid house deed.
Commands.Players.Housing.LotNotYours:			You do not own this lot!
Commands.Players.Housing.LotOffer:			Do you wish to buy this lot? It costs {0}.
Commands.Players.Housing.LotTargeted:			You target lot number {0}.
Commands.Players.Housing.NotFloorObject:			This item cannot be placed on the floor!
Commands.Players.Housing.NotHookPoint:			This item cannot be placed on a hookpoint!
Commands.Players.Housing.NotWallObject:			This item cannot be placed on a wall!
Commands.Players.Housing.OutdoorBannersAdded:		Your outdoor guild banners have been changed.	
Commands.Players.Housing.OutdoorBannersRemoved:		Your outdoor guild banners have been removed.	
Commands.Players.Housing.OutdoorShieldsAdded:		Your outdoor guild shields have been changed.	
Commands.Players.Housing.OutdoorShieldsRemoved:		Your outdoor guild shields have been removed.	
Commands.Players.Housing.PaidChanges:			You have paid {0} for your changes.
Commands.Players.Housing.PaidNotEnough:			You do not have enough money to do that!
Commands.Players.Housing.PorchAlready:			This house already has a porch!
Commands.Players.Housing.PorchNone:			This house does not have a porch!
Commands.Players.Housing.PorchNotItem:			This is not a porch item!
Commands.Players.Housing.TransferToGuild:			Do you want to transfer this house to {0}?

